ID,Все 18+_TVR,Канал_ПЕРВЫЙ КАНАЛ,Канал_РЕН ТВ,Канал_РОССИЯ 1,Канал_СТС,Канал_ТНТ,day,year,month,hour,holidays
316,0.39,0,0,0,0,1,4,2018,11,5,1
317,0.07,0,0,0,0,1,4,2018,11,6,1
318,0.19,0,0,0,0,1,4,2018,11,7,1
319,0.21,0,0,0,0,1,4,2018,11,8,1
320,0.37,0,0,0,0,1,4,2018,11,9,1
321,0.34,0,0,0,0,1,4,2018,11,10,1
322,0.69,0,0,0,0,1,4,2018,11,11,1
323,0.65,0,0,0,0,1,4,2018,11,12,1
324,0.37,0,0,0,0,1,4,2018,11,13,1
325,0.61,0,0,0,0,1,4,2018,11,14,1
326,0.76,0,0,0,0,1,4,2018,11,15,1
327,1.19,0,0,0,0,1,4,2018,11,16,1
328,1.32,0,0,0,0,1,4,2018,11,17,1
329,0.79,0,0,0,0,1,4,2018,11,18,1
330,1.21,0,0,0,0,1,4,2018,11,19,1
331,1.95,0,0,0,0,1,4,2018,11,20,1
332,2.76,0,0,0,0,1,4,2018,11,21,1
333,1.75,0,0,0,0,1,4,2018,11,22,1
334,0.99,0,0,0,0,1,4,2018,11,23,1
335,1.27,1,0,0,0,0,6,2018,11,0,0
336,1.35,1,0,0,0,0,6,2018,11,1,0
337,0.43,1,0,0,0,0,6,2018,11,2,0
338,0.0,1,0,0,0,0,6,2018,11,3,0
339,0.06,1,0,0,0,0,6,2018,11,4,0
340,3.11,0,0,1,0,0,6,2018,11,0,0
341,1.81,0,0,1,0,0,6,2018,11,1,0
342,1.51,0,0,1,0,0,6,2018,11,2,0
343,0.66,0,0,1,0,0,6,2018,11,3,0
344,0.29,0,0,1,0,0,6,2018,11,4,0
345,1.26,0,0,0,1,0,6,2018,11,0,0
346,1.34,0,0,0,1,0,6,2018,11,1,0
347,0.46,0,0,0,1,0,6,2018,11,2,0
348,0.23,0,0,0,1,0,6,2018,11,3,0
349,0.24,0,0,0,1,0,6,2018,11,4,0
350,0.53,0,1,0,0,0,6,2018,11,0,0
351,0.39,0,1,0,0,0,6,2018,11,1,0
352,0.21,0,1,0,0,0,6,2018,11,2,0
353,0.15,0,1,0,0,0,6,2018,11,3,0
354,0.15,0,1,0,0,0,6,2018,11,4,0
355,0.83,0,0,0,0,1,6,2018,11,0,0
356,0.13,0,0,0,0,1,6,2018,11,1,0
357,0.21,0,0,0,0,1,6,2018,11,2,0
358,0.48,0,0,0,0,1,6,2018,11,3,0
359,0.32,0,0,0,0,1,6,2018,11,4,0
360,0.27,1,0,0,0,0,6,2018,11,5,0
361,0.62,1,0,0,0,0,6,2018,11,6,0
362,1.41,1,0,0,0,0,6,2018,11,7,0
363,1.13,1,0,0,0,0,6,2018,11,8,0
364,1.24,1,0,0,0,0,6,2018,11,9,0
365,1.13,1,0,0,0,0,6,2018,11,10,0
366,1.11,1,0,0,0,0,6,2018,11,11,0
367,1.83,1,0,0,0,0,6,2018,11,12,0
368,1.45,1,0,0,0,0,6,2018,11,13,0
369,2.09,1,0,0,0,0,6,2018,11,14,0
370,1.5,1,0,0,0,0,6,2018,11,15,0
371,1.88,1,0,0,0,0,6,2018,11,16,0
372,1.9,1,0,0,0,0,6,2018,11,17,0
373,4.01,1,0,0,0,0,6,2018,11,18,0
374,4.83,1,0,0,0,0,6,2018,11,19,0
375,3.9,1,0,0,0,0,6,2018,11,20,0
376,4.2,1,0,0,0,0,6,2018,11,21,0
377,3.89,1,0,0,0,0,6,2018,11,22,0
378,2.82,1,0,0,0,0,6,2018,11,23,0
379,1.23,1,0,0,0,0,7,2018,11,0,1
380,0.7,1,0,0,0,0,7,2018,11,1,1
381,0.36,1,0,0,0,0,7,2018,11,2,1
382,0.09,1,0,0,0,0,7,2018,11,3,1
383,0.06,1,0,0,0,0,7,2018,11,4,1
384,0.54,0,0,1,0,0,6,2018,11,5,0
385,2.22,0,0,1,0,0,6,2018,11,6,0
386,1.65,0,0,1,0,0,6,2018,11,7,0
387,1.88,0,0,1,0,0,6,2018,11,8,0
388,1.99,0,0,1,0,0,6,2018,11,9,0
389,1.88,0,0,1,0,0,6,2018,11,10,0
390,2.89,0,0,1,0,0,6,2018,11,11,0
391,2.94,0,0,1,0,0,6,2018,11,12,0
392,2.1,0,0,1,0,0,6,2018,11,13,0
393,2.14,0,0,1,0,0,6,2018,11,14,0
